.23:32:30 | ELONUSDT -> Failed | start-> 3.427e-07 final-> 3.281e-07 -> 0.9573971403559964% ||| tmn-> 3.323815976255001e-07 -> 0.9698908597184128 ||| KC-> 3.422e-07
23:41:55 | ELONUSDT -> Failed | start-> 3.281e-07 final-> 3.26e-07 -> 0.9935995123437976% ||| tmn-> 3.241456645906612e-07 -> 0.987947773820973 ||| KC-> 3.432e-07
00:27:19 | ELONUSDT -> Success | start-> 3.427e-07 final-> 3.5e-07 -> 1.0213014298220016% ||| tmn-> 3.372859237300424e-07 -> 0.9842017033266484 ||| KC-> 3.504e-07
02:27:51 | ELONUSDT -> Failed | start-> 3.555e-07 final-> 3.415e-07 -> 0.960618846694796% ||| tmn-> 3.4019323671497587e-07 -> 0.9569430006047142 ||| KC-> 3.545e-07
03:00:16 | JTOUSDT -> Failed | start-> 3.191 final-> 3.24 -> 1.0153556878721406% ||| tmn-> 3.214587158918849 -> 1.0073917765336413 ||| KC-> 3.234
03:06:53 | ELONUSDT -> Failed | start-> 3.555e-07 final-> 3.502e-07 -> 0.9850914205344585% ||| tmn-> 3.5351939985480357e-07 -> 0.9944286915746937 ||| KC-> 3.631e-07
03:48:14 | RAYUSDT -> Failed | start-> 2.1463 final-> 2.1479 -> 1.0007454689465591% ||| tmn-> 2.1535179520206085 -> 1.0033629744306987 ||| KC-> 2.1932
05:03:12 | RAYUSDT -> Failed | start-> 2.3228 final-> 2.2875 -> 0.9848028241777166% ||| tmn-> 2.2724070595017083 -> 0.9783050884715465 ||| KC-> 2.3016
08:55:48 | PEOPLEUSDT -> Success | start-> 0.04022 final-> 0.04122 -> 1.0248632521133765% ||| tmn-> 0.041566798037480895 -> 1.033485779151688 ||| KC-> 0.04113
15:37:46 | PEPEUSDT -> Success | start-> 8.4e-06 final-> 8.589e-06 -> 1.0225000000000002% ||| tmn-> 8.59244917715392e-06 -> 1.0229106163278479 ||| KC-> 8.71e-06
10:55:24 | PEPEUSDT -> Failed | start-> 8.757e-06 final-> 8.759e-06 -> 1.0002283887175976% ||| tmn-> 8.775493765505687e-06 -> 1.002111883693695 ||| KC-> 8.93e-06
19:42:21 | RAYUSDT -> Failed | start-> 2.2447 final-> 2.2616 -> 1.0075288457254867% ||| tmn-> 2.2662240342932654 -> 1.0095888244724307 ||| KC-> 2.3172
22:56:18 | RAYUSDT -> Failed | start-> 2.3 final-> 2.2965 -> 0.9984782608695653% ||| tmn-> 2.317331229064674 -> 1.007535316984641 ||| KC-> 2.3473
00:18:04 | ELONUSDT -> Failed | start-> 3.302e-07 final-> 3.251e-07 -> 0.9845548152634768% ||| tmn-> 3.237813622959537e-07 -> 0.9805613637067042 ||| KC-> 3.41e-07
00:28:22 | ELONUSDT -> Failed | start-> 3.3e-07 final-> 3.263e-07 -> 0.9887878787878788% ||| tmn-> 3.2661738416195586e-07 -> 0.9897496489756238 ||| KC-> 3.405e-07
04:54:07 | RAYUSDT -> Success | start-> 2.5 final-> 2.5746 -> 1.02984% ||| tmn-> 2.57423221939351 -> 1.0296928877574039 ||| KC-> 2.6259
09:23:39 | PEPEUSDT -> Success | start-> 7.71e-06 final-> 8.006e-06 -> 1.038391699092088% ||| tmn-> 8.144578313253012e-06 -> 1.0563655399809353 ||| KC-> 7.86e-06
09:23:40 | INJUSDT -> Success | start-> 33.3188 final-> 34.0774 -> 1.0227679268160916% ||| tmn-> 33.52424096385542 -> 1.006165917255586 ||| KC-> 33.709
09:23:41 | LTCUSDT -> Success | start-> 104.563 final-> 106.77 -> 1.0211068924954334% ||| tmn-> 106.34562248995984 -> 1.017048310491855 ||| KC-> 105.511
09:25:43 | TONUSDT -> Success | start-> 4.999 final-> 5.113 -> 1.0228045609121825% ||| tmn-> 5.108804546768134 -> 1.0219653024141098 ||| KC-> 5.1364
09:28:31 | ALICEUSDT -> Failed | start-> 1.853 final-> 1.8703 -> 1.0093362115488398% ||| tmn-> 1.8858059342421811 -> 1.0177042278694988 ||| KC-> 1.89
